Date,Open,High,Low,Close,Adj Close,Volume
2022-09-20,15.230000,15.230000,14.850000,15.050000,14.633915,25211100
2022-09-21,15.140000,15.520000,14.900000,15.180000,14.760323,26828500
2022-09-22,15.270000,15.460000,15.010000,15.070000,14.653362,18804200
2022-09-23,14.740000,14.750000,14.260000,14.480000,14.079674,25092200
2022-09-26,14.330000,14.520000,13.970000,14.190000,13.797691,22121700
2022-09-27,14.370000,14.550000,14.090000,14.100000,13.710180,17517200
2022-09-28,14.400000,14.970000,14.380000,14.950000,14.536679,22802800
2022-09-29,14.850000,15.110000,14.660000,15.100000,14.682534,25858900
2022-09-30,15.020000,15.750000,14.990000,15.500000,15.071475,37708200
2022-10-03,15.700000,15.940000,15.460000,15.920000,15.479862,35218700
2022-10-04,16.160000,16.490000,15.970000,16.049999,15.606267,33905200
2022-10-05,15.730000,15.960000,15.440000,15.900000,15.460416,25558000
2022-10-06,15.800000,16.160000,15.700000,16.150000,15.703504,22734800
2022-10-07,15.940000,16.030001,15.480000,15.480000,15.052027,21936500
2022-10-10,15.330000,15.650000,15.250000,15.270000,14.847833,11309400
2022-10-11,15.310000,15.490000,15.010000,15.010000,14.595021,19824100
2022-10-12,15.060000,15.320000,14.890000,15.060000,14.643639,22272400
2022-10-13,14.570000,14.730000,13.990000,14.670000,14.264421,32784600
2022-10-14,14.540000,14.600000,14.130000,14.160000,13.768521,19001100
2022-10-17,14.550000,14.860000,14.520000,14.610000,14.206080,25069100
2022-10-18,14.820000,14.940000,14.640000,14.790000,14.381104,13516500
2022-10-19,14.520000,14.610000,14.350000,14.450000,14.050504,21597500
2022-10-20,14.480000,14.950000,14.420000,14.510000,14.108845,17003100
2022-10-21,14.590000,15.100000,14.510000,15.010000,14.595021,19499700
2022-10-24,14.820000,15.050000,14.650000,15.050000,14.633915,18373300
2022-10-25,15.070000,15.370000,15.060000,15.260000,14.838110,22043400
2022-10-26,15.480000,15.910000,15.440000,15.700000,15.265945,18345000
2022-10-27,15.670000,15.770000,15.450000,15.480000,15.052027,17918300
2022-10-28,15.320000,15.440000,15.190000,15.310000,14.886728,16819400
2022-10-31,15.140000,15.280000,15.020000,15.030000,14.614469,17850000
2022-11-01,15.400000,15.500000,15.100000,15.140000,14.721428,24127000
2022-11-02,15.200000,15.310000,14.280000,14.340000,13.943544,33435600
2022-11-03,14.270000,14.270000,13.010000,13.100000,12.737827,58799000
2022-11-04,13.700000,14.240000,13.570000,14.200000,13.807415,37912500
2022-11-07,14.290000,14.580000,14.180000,14.570000,14.167187,22287500
2022-11-08,14.620000,15.800000,14.550000,15.610000,15.178432,37409600
2022-11-09,15.540000,15.810000,15.260000,15.350000,14.925622,17642100
2022-11-10,16.120001,16.450001,15.950000,16.430000,15.975763,28584600
2022-11-11,16.440001,16.580000,16.309999,16.440001,15.985486,17873500
2022-11-14,16.330000,16.420000,16.030001,16.190001,15.742399,17817400
2022-11-15,16.370001,16.450001,15.780000,16.000000,15.557651,24519000
2022-11-16,15.930000,16.150000,15.780000,15.790000,15.353456,11426300
2022-11-17,15.450000,15.620000,15.350000,15.570000,15.139540,15928800
2022-11-18,15.600000,15.630000,15.360000,15.620000,15.188157,15773900
2022-11-21,15.510000,15.520000,15.130000,15.350000,14.925622,11907400
2022-11-22,15.500000,16.059999,15.380000,16.010000,15.567374,16605100
2022-11-23,15.930000,16.299999,15.910000,16.230000,15.781291,14178400
2022-11-25,16.190001,16.270000,16.020000,16.020000,15.577099,9338700
2022-11-28,16.049999,16.090000,15.500000,15.500000,15.071475,26013100
2022-11-29,15.590000,15.960000,15.540000,15.870000,15.582038,15770800
2022-11-30,16.030001,16.440001,15.870000,16.320000,16.023874,25458200
2022-12-01,16.750000,17.340000,16.670000,17.090000,16.779902,31207800
2022-12-02,16.780001,17.139999,16.580000,16.980000,16.671898,18763700
2022-12-05,16.809999,16.910000,16.469999,16.520000,16.220245,21242900
2022-12-06,16.760000,16.910000,16.350000,16.450001,16.151516,17170300
2022-12-07,16.580000,17.110001,16.549999,16.860001,16.554075,21147400
2022-12-08,17.030001,17.090000,16.760000,16.799999,16.495163,16203400
2022-12-09,17.030001,17.200001,16.580000,16.580000,16.279156,20654700
2022-12-12,16.490000,16.740000,16.280001,16.730000,16.426434,19925800
2022-12-13,17.440001,17.639999,17.150000,17.440001,17.123552,28304100
2022-12-14,17.420000,17.600000,17.120001,17.389999,17.074459,18237300
2022-12-15,16.950001,17.100000,16.639999,16.650000,16.347885,19147700
2022-12-16,16.639999,17.059999,16.559999,16.900000,16.593349,19723800
2022-12-19,16.930000,16.980000,16.469999,16.549999,16.249701,16413900
2022-12-20,16.850000,17.410000,16.820000,17.280001,16.966455,25819900
2022-12-21,17.400000,17.670000,17.330000,17.500000,17.182461,20232900
2022-12-22,17.230000,17.379999,16.959999,17.299999,16.986090,16260800
2022-12-23,17.330000,17.500000,17.090000,17.389999,17.074459,12800800
2022-12-27,17.459999,17.930000,17.430000,17.770000,17.447565,11654100
2022-12-28,17.610001,17.660000,17.110001,17.209999,16.897724,12970700
2022-12-29,17.370001,17.459999,17.219999,17.250000,16.937000,8274800
2022-12-30,17.309999,17.340000,17.040001,17.180000,16.868271,12821900
2023-01-03,17.540001,17.950001,17.450001,17.830000,17.506474,16347400
2023-01-04,18.150000,19.059999,18.110001,18.879999,18.537422,29096000
2023-01-05,18.639999,18.830000,18.340000,18.780001,18.439238,17933600
2023-01-06,19.100000,19.170000,18.520000,19.040001,18.694521,21704000
2023-01-09,19.219999,19.370001,18.959999,18.969999,18.625790,18346700
2023-01-10,19.000000,19.459999,18.850000,19.389999,19.038170,16523400
2023-01-11,19.469999,19.520000,18.950001,19.219999,18.871250,14346400
2023-01-12,19.530001,19.610001,19.209999,19.430000,19.077442,13816400
2023-01-13,19.440001,19.820000,19.430000,19.639999,19.283630,16591400
2023-01-17,19.420000,19.459999,18.670000,18.750000,18.409781,21531600
2023-01-18,18.950001,19.059999,18.379999,18.379999,18.046495,15738900
2023-01-19,18.420000,18.920000,18.400000,18.719999,18.380323,17352400
2023-01-20,18.610001,18.980000,18.520000,18.969999,18.625790,16544800
2023-01-23,18.719999,19.270000,18.650000,19.230000,18.881073,27041600
2023-01-24,19.000000,19.500000,18.969999,19.420000,19.067623,19027500
2023-01-25,19.260000,19.830000,19.219999,19.790001,19.430914,19501100
2023-01-26,19.680000,19.730000,19.400000,19.690001,19.332726,23740600
2023-01-27,19.570000,19.770000,19.400000,19.670000,19.313087,19612600
2023-01-30,19.600000,19.750000,19.400000,19.480000,19.126534,14093400
2023-01-31,19.379999,19.600000,19.250000,19.549999,19.195263,14899100
2023-02-01,19.469999,20.160000,19.370001,19.950001,19.588007,18686200
2023-02-02,20.190001,20.190001,19.170000,19.400000,19.047987,20871500
2023-02-03,18.799999,18.830000,18.200001,18.320000,17.987583,25763100
2023-02-06,18.209999,18.440001,18.110001,18.350000,18.017038,15431100
2023-02-07,18.350000,18.690001,18.190001,18.500000,18.164318,15345600
2023-02-08,18.540001,18.559999,18.110001,18.340000,18.007221,11946300
2023-02-09,18.540001,18.639999,17.610001,17.809999,17.486837,17830800
2023-02-10,17.790001,18.049999,17.690001,17.930000,17.604660,12472100
2023-02-13,17.740000,17.980000,17.709999,17.930000,17.604660,9490600
2023-02-14,17.809999,17.879999,17.459999,17.809999,17.486837,19540600
2023-02-15,17.320000,17.400000,16.930000,17.170000,16.858450,32732100
2023-02-16,16.920000,17.090000,16.610001,16.950001,16.642443,22997300
2023-02-17,16.650000,16.790001,16.440001,16.740000,16.436251,21649300
2023-02-21,16.730000,16.799999,16.490000,16.590000,16.288975,15470100
2023-02-22,16.520000,16.530001,16.100000,16.209999,15.915870,20601000
2023-02-23,16.129999,16.280001,16.040001,16.070000,15.778410,15735800
2023-02-24,15.930000,16.010000,15.800000,16.000000,15.709680,16299500
2023-02-27,15.940000,16.080000,15.860000,15.970000,15.778843,11449100
2023-02-28,15.950000,16.280001,15.850000,16.120001,15.927049,21502400
2023-03-01,16.430000,16.480000,16.180000,16.309999,16.114771,14867000
2023-03-02,16.190001,16.400000,16.120001,16.379999,16.183933,13362100
2023-03-03,16.559999,16.570000,16.340000,16.520000,16.322260,14371700
2023-03-06,16.430000,16.480000,16.180000,16.299999,16.104891,11512800
2023-03-07,16.100000,16.150000,15.670000,15.770000,15.581237,21944100
2023-03-08,15.790000,15.960000,15.580000,15.620000,15.433032,16848300
2023-03-09,15.750000,15.870000,15.480000,15.570000,15.383631,14879800
2023-03-10,15.900000,16.290001,15.830000,15.910000,15.719560,22463600
2023-03-13,16.600000,17.230000,16.559999,17.020000,16.816275,37190700
2023-03-14,16.990000,17.129999,16.850000,17.070000,16.865675,17099800
2023-03-15,17.400000,17.549999,17.180000,17.480000,17.270767,38859700
2023-03-16,17.549999,17.580000,17.000000,17.400000,17.191727,22923600
2023-03-17,17.690001,18.290001,17.480000,18.120001,17.903109,46055300
2023-03-20,18.260000,18.490000,18.100000,18.240000,18.021671,23283700
2023-03-21,17.889999,17.900000,17.480000,17.690001,17.478256,20481200
2023-03-22,17.770000,18.219999,17.660000,18.000000,17.784544,17988400
2023-03-23,18.240000,18.510000,18.070000,18.299999,18.080952,17623800
2023-03-24,18.440001,18.670000,18.260000,18.520000,18.298321,18155600
2023-03-27,18.020000,18.500000,17.910000,18.500000,18.278559,15139200
2023-03-28,18.570000,18.750000,18.400000,18.660000,18.436644,15099500
2023-03-29,18.500000,18.730000,18.410000,18.540001,18.318081,13706700
2023-03-30,18.620001,18.719999,18.389999,18.600000,18.377363,14506200
2023-03-31,18.660000,18.750000,18.379999,18.570000,18.347721,15434500
2023-04-03,18.670000,19.030001,18.480000,18.790001,18.565088,15481400
2023-04-04,18.780001,19.719999,18.740000,19.620001,19.385153,28821100
2023-04-05,19.850000,20.049999,19.459999,19.680000,19.444435,25588400
2023-04-06,19.549999,19.740000,19.400000,19.730000,19.493835,17237000
2023-04-10,19.420000,19.510000,19.309999,19.459999,19.227068,12936300
2023-04-11,19.580000,19.809999,19.410000,19.420000,19.187546,15836100
2023-04-12,19.809999,19.879999,19.500000,19.629999,19.395031,14592800
2023-04-13,19.990000,20.280001,19.740000,20.049999,19.810005,27992000
2023-04-14,19.790001,19.809999,19.360001,19.670000,19.434555,16545400
2023-04-17,19.410000,19.490000,19.139999,19.370001,19.138147,20141200
2023-04-18,19.440001,19.730000,19.389999,19.420000,19.187546,11527300
2023-04-19,19.030001,19.350000,19.020000,19.240000,19.009701,13258000
2023-04-20,19.379999,19.440001,19.150000,19.200001,18.970181,13072000
2023-04-21,19.090000,19.270000,18.840000,19.070000,18.841736,17072700
2023-04-24,18.990000,19.129999,18.809999,19.070000,18.841736,11059900
2023-04-25,19.020000,19.270000,18.820000,19.190001,18.960300,13964000
2023-04-26,19.420000,19.440001,18.950001,18.990000,18.762693,11572300
2023-04-27,18.889999,19.190001,18.780001,19.170000,18.940540,10196800
2023-04-28,19.100000,19.180000,18.840000,19.040001,18.812096,12585400
2023-05-01,19.360001,19.469999,18.990000,19.000000,18.772573,11827800
2023-05-02,18.950001,19.840000,18.920000,19.790001,19.553120,23793800
2023-05-03,19.969999,20.110001,19.680000,19.980000,19.740843,19105500
2023-05-04,20.160000,20.750000,20.080000,20.430000,20.185459,26891900
2023-05-05,19.790001,20.420000,19.750000,20.200001,19.958210,15043500
2023-05-08,20.219999,20.260000,19.770000,19.850000,19.612400,12282300
2023-05-09,19.799999,19.920000,19.629999,19.780001,19.543238,11662200
2023-05-10,19.830000,19.850000,19.530001,19.770000,19.533358,9169300
2023-05-11,19.530001,19.650000,18.990000,19.030001,18.802216,20756200
2023-05-12,18.969999,19.219999,18.900000,19.180000,18.950420,9810600
2023-05-15,19.240000,19.450001,19.190001,19.350000,19.118385,8510500
2023-05-16,19.250000,19.290001,18.660000,18.760000,18.535446,19069900
2023-05-17,18.719999,18.719999,18.370001,18.430000,18.209396,17791200
2023-05-18,18.059999,18.059999,17.520000,17.809999,17.596819,22431100
2023-05-19,17.889999,18.160000,17.760000,17.860001,17.646219,14574100
2023-05-22,17.850000,17.959999,17.780001,17.790001,17.577059,7072100
2023-05-23,17.660000,17.860001,17.530001,17.750000,17.537537,10052500
2023-05-24,17.879999,17.889999,17.420000,17.480000,17.270767,9974300
2023-05-25,17.280001,17.330000,17.059999,17.090000,16.885435,15912800
2023-05-26,17.379999,17.420000,16.879999,16.990000,16.786633,11078600
2023-05-30,16.930000,16.959999,16.590000,16.780001,16.677307,11240200
2023-05-31,16.820000,17.209999,16.730000,16.879999,16.776693,14331200
2023-06-01,16.969999,17.540001,16.959999,17.450001,17.343206,12634700
2023-06-02,17.360001,17.440001,17.120001,17.309999,17.204063,12954600
2023-06-05,17.240000,17.330000,17.120001,17.190001,17.084799,10848500
2023-06-06,17.200001,17.260000,16.910000,17.129999,17.025164,14431900
2023-06-07,17.170000,17.250000,16.930000,16.980000,16.876083,10996600
2023-06-08,17.170000,17.230000,17.040001,17.150000,17.045042,10734700
2023-06-09,17.090000,17.170000,16.930000,17.000000,16.895960,11034300
2023-06-12,16.920000,16.920000,16.750000,16.900000,16.796572,10157700
2023-06-13,16.990000,17.139999,16.790001,16.809999,16.707123,12100600
2023-06-14,17.020000,17.049999,16.690001,16.780001,16.677307,10818000
2023-06-15,16.740000,16.809999,16.330000,16.490000,16.389082,22497700
2023-06-16,16.629999,16.790001,16.490000,16.709999,16.607735,21134200
2023-06-20,16.350000,16.370001,15.960000,16.049999,15.951774,16948300
2023-06-21,15.990000,16.290001,15.860000,16.129999,16.031284,13746400
2023-06-22,16.020000,16.430000,15.900000,16.410000,16.309570,22292400
2023-06-23,16.510000,16.629999,16.320000,16.459999,16.359264,19954200
2023-06-26,16.459999,16.809999,16.320000,16.570000,16.468592,16119300
2023-06-27,16.580000,16.700001,16.250000,16.660000,16.558041,15073900
2023-06-28,16.469999,16.610001,16.400000,16.600000,16.498409,16191800
2023-06-29,16.379999,16.660000,16.260000,16.629999,16.528225,14737200
2023-06-30,16.690001,16.930000,16.600000,16.930000,16.826389,12247700
2023-07-03,16.980000,17.200001,16.900000,17.090000,16.985411,7798500
2023-07-05,17.110001,17.110001,16.680000,16.700001,16.597797,14417000
2023-07-06,16.549999,16.600000,16.170000,16.219999,16.120733,17042100
2023-07-07,16.370001,16.559999,16.290001,16.340000,16.240000,9647800
2023-07-10,16.270000,16.549999,16.240000,16.530001,16.428837,16319600
2023-07-11,16.620001,16.740000,16.530001,16.709999,16.607735,11802500
2023-07-12,16.990000,17.530001,16.950001,17.480000,17.373022,19715500
2023-07-13,17.629999,17.690001,17.480000,17.600000,17.492289,17776200
2023-07-14,17.530001,17.700001,17.340000,17.350000,17.243818,15180500
2023-07-17,17.299999,17.469999,17.150000,17.360001,17.253757,8837600
2023-07-18,17.500000,17.900000,17.400000,17.650000,17.541983,14456200
2023-07-19,17.620001,17.760000,17.580000,17.650000,17.541983,10516100
2023-07-20,17.600000,17.610001,17.260000,17.280001,17.174248,11990100
2023-07-21,17.180000,17.410000,17.150000,17.400000,17.293512,9513100
2023-07-24,17.379999,17.440001,17.250000,17.379999,17.273634,7299900
2023-07-25,17.400000,17.590000,17.320000,17.530001,17.422718,11324400
2023-07-26,17.500000,17.510000,17.080000,17.250000,17.144430,14498600
2023-07-27,17.070000,17.070000,16.760000,16.780001,16.677307,15500500
2023-07-28,16.940001,17.080000,16.870001,16.980000,16.876083,11239800
2023-07-31,17.129999,17.450001,17.070000,17.290001,17.184187,10575500
2023-08-01,16.969999,17.100000,16.830000,17.030001,16.925777,13888000
2023-08-02,16.969999,17.010000,16.510000,16.540001,16.438776,15661000
2023-08-03,16.549999,16.660000,16.270000,16.309999,16.210182,17955200
2023-08-04,16.510000,16.570000,16.320000,16.490000,16.389082,15882200
2023-08-07,16.459999,16.590000,16.370001,16.500000,16.399021,10100700
2023-08-08,16.240000,16.480000,15.970000,16.450001,16.349327,12100400
2023-08-09,16.559999,16.590000,16.360001,16.480000,16.379143,11483300
2023-08-10,16.610001,16.850000,16.510000,16.660000,16.558041,11986200
2023-08-11,16.590000,16.910000,16.559999,16.910000,16.806511,9263800
2023-08-14,16.719999,16.780001,16.559999,16.670000,16.567980,11074700
2023-08-15,16.580000,16.610001,15.950000,16.020000,15.921959,18152400
2023-08-16,16.059999,16.080000,15.740000,15.770000,15.673489,14079100
2023-08-17,15.830000,15.880000,15.500000,15.660000,15.564161,13014300
2023-08-18,15.580000,15.660000,15.480000,15.610000,15.514467,13549200
2023-08-21,15.680000,15.740000,15.470000,15.710000,15.613855,12109500
2023-08-22,15.740000,15.870000,15.580000,15.840000,15.743060,12760500
2023-08-23,16.000000,16.320000,15.960000,16.110001,16.011408,21154700
2023-08-24,16.000000,16.090000,15.780000,15.970000,15.872265,11479100
2023-08-25,15.960000,16.030001,15.580000,15.910000,15.812632,16434500
2023-08-28,15.970000,16.219999,15.930000,16.190001,16.090918,11017200
2023-08-29,16.150000,16.450001,16.110001,16.340000,16.240000,15065700
2023-08-30,16.410000,16.510000,16.250000,16.350000,16.350000,10311500
2023-08-31,16.320000,16.379999,16.110001,16.209999,16.209999,7636400
2023-09-01,16.420000,16.450001,16.110001,16.120001,16.120001,12035700
2023-09-05,16.010000,16.150000,15.850000,15.920000,15.920000,10493700
2023-09-06,15.840000,16.010000,15.750000,15.840000,15.840000,9257300
2023-09-07,15.790000,15.850000,15.730000,15.790000,15.790000,8660400
2023-09-08,15.820000,16.000000,15.750000,15.780000,15.780000,8265700
2023-09-11,15.970000,16.090000,15.870000,16.070000,16.070000,8486200
2023-09-12,15.910000,16.190001,15.900000,16.049999,16.049999,7473000
2023-09-13,16.049999,16.139999,15.960000,16.120001,16.120001,9928300
2023-09-14,16.190001,16.430000,16.139999,16.330000,16.330000,12856100
2023-09-15,16.400000,16.690001,16.379999,16.639999,16.639999,17842400
2023-09-18,16.709999,16.790001,16.570000,16.680000,16.680000,9470100
2023-09-19,16.719999,16.750000,16.190001,16.330000,16.330000,14782359
